Cota_m	DeltaZ_cm	Yi1_cm	Yi2_cm	Yi3_cm	Q_m3h	Group	Experiment
15.00	0.40	2.25	2.20	2.25	7.25	G01	EXP_A
15.10	0.40	2.00	1.95	2.00	7.25	G01	EXP_A
15.20	0.40	1.85	1.90	1.90	7.25	G01	EXP_A
15.50	0.40	8.80	8.80	8.80	7.25	G01	EXP_A
15.60	0.40	9.00	9.05	9.00	7.25	G01	EXP_A
15.70	0.45	9.00	9.00	9.05	7.25	G01	EXP_A
15.80	0.50	9.00	9.00	9.00	7.25	G01	EXP_A
15.90	0.50	9.00	9.00	9.00	7.25	G01	EXP_A
16.00	0.45	9.00	9.05	9.05	7.25	G01	EXP_A
16.10	0.40	9.00	9.00	9.00	7.25	G01	EXP_A
16.20	0.40	9.00	9.00	9.00	7.25	G01	EXP_A
16.30	0.50	9.00	9.00	9.00	7.25	G01	EXP_A
