Cota_m,DeltaZ_cm,Yi1_cm,Yi2_cm,Yi3_cm,Q_m3h,Group,Experiment,eff_cota,q_m3_s,y_m,area,perimeter,radius,radius_root,vel,Froude,dym,energ_total,rule,SEQ
15.0,0.4,2.25,2.2,2.25,7.25,G01,EXP_A,0.0,0.002,0.018,0.002,0.123,0.013,0.113,1.277,3.012,0.083,0.101,SUPER,1
15.1,0.4,2.0,1.95,2.0,7.25,G01,EXP_A,0.1,0.002,0.016,0.001,0.118,0.012,0.108,1.479,3.753,0.111,0.127,SUPER,2
15.2,0.4,1.85,1.9,1.9,7.25,G01,EXP_A,0.2,0.002,0.015,0.001,0.116,0.011,0.105,1.579,4.139,0.127,0.142,SUPER,3
15.5,0.4,8.8,8.8,8.8,7.25,G01,EXP_A,0.5,0.002,0.084,0.007,0.254,0.028,0.169,0.279,0.307,0.004,0.088,SUB,4
15.6,0.4,9.0,9.05,9.0,7.25,G01,EXP_A,0.6,0.002,0.086,0.007,0.258,0.029,0.169,0.272,0.296,0.004,0.09,SUB,5
15.7,0.45,9.0,9.0,9.05,7.25,G01,EXP_A,0.7,0.002,0.086,0.007,0.257,0.029,0.169,0.273,0.298,0.004,0.089,SUB,6
15.8,0.5,9.0,9.0,9.0,7.25,G01,EXP_A,0.8,0.002,0.085,0.007,0.256,0.029,0.169,0.275,0.302,0.004,0.089,SUB,7
15.9,0.5,9.0,9.0,9.0,7.25,G01,EXP_A,0.9,0.002,0.085,0.007,0.256,0.029,0.169,0.275,0.302,0.004,0.089,SUB,8
16.0,0.45,9.0,9.05,9.05,7.25,G01,EXP_A,1.0,0.002,0.086,0.007,0.258,0.029,0.169,0.273,0.297,0.004,0.09,SUB,9
16.1,0.4,9.0,9.0,9.0,7.25,G01,EXP_A,1.1,0.002,0.086,0.007,0.258,0.029,0.169,0.272,0.296,0.004,0.09,SUB,10
16.2,0.4,9.0,9.0,9.0,7.25,G01,EXP_A,1.2,0.002,0.086,0.007,0.258,0.029,0.169,0.272,0.296,0.004,0.09,SUB,11
16.3,0.5,9.0,9.0,9.0,7.25,G01,EXP_A,1.3,0.002,0.085,0.007,0.256,0.029,0.169,0.275,0.302,0.004,0.089,SUB,12
